id,student_id,course_id,grade,semester,year
,53015004,ETE499,B+,Spring,2011
,53015004,GED205,F,Spring,2011
,53015004,GED221,C+,Spring,2011
,62013003,ENG341,F,Spring,2011
,62013003,ENG499,F,Spring,2011
,62013004,ENG302,D,Spring,2011
,62013004,ENG305,C+,Spring,2011
,62013004,ENG342,D,Spring,2011
,62013004,ENG404,B+,Spring,2011
,62013004,ENG499,B-,Spring,2011
,62015004,CSE307,D,Spring,2011
,62015004,CSE308,F,Spring,2011
,62015004,CSE309,F,Spring,2011
,62015004,CSE310,D,Spring,2011
,62015004,ETE207,F,Spring,2011
,62015004,ETE310,F,Spring,2011
,62015004,ETE415,F,Spring,2011
,62015004,ETE416,F,Spring,2011
,63011017,BUS105,F,Spring,2011
,63011017,BUS305,F,Spring,2011
,63011017,BUS306,F,Spring,2011
,63011017,GED201,F,Spring,2011
,63011023,BUS201,B+,Spring,2011
,63011023,CSE303,D,Spring,2011
,63011023,GED208,C+,Spring,2011
,63011023,GED302,C,Spring,2011
,63011043,BUS471,B+,Spring,2011
,63011043,BUS499,A-,Spring,2011
,63011045,BUS307,B,Spring,2011
,63011045,ENG103,C,Spring,2011
,63011045,GED227,A-,Spring,2011
,63011045,GED302,C,Spring,2011
,63011050,BUS302,C,Spring,2011
,63011050,BUS308,C+,Spring,2011
,63011050,BUS316,B,Spring,2011
,63011050,GED221,A-,Spring,2011
,63011067,BUS499,B,Spring,2011
,63011067,GED227,B,Spring,2011
,63011079,BUS307,B-,Spring,2011
,63011079,BUS451,B-,Spring,2011
,63011079,MSJ222,C+,Spring,2011
,63011079,MSJ411,B-,Spring,2011
,63011080,BUS204,D,Spring,2011
,63011080,ENG103,C+,Spring,2011
,63011080,GED211,B+,Spring,2011
,63011089,BUS499,A,Spring,2011
,63011095,BUS205,B+,Spring,2011
,63011095,BUS302,C,Spring,2011
,63011095,BUS471,B,Spring,2011
,63011095,BUS475,B,Spring,2011
,63011103,BUS499,A-,Spring,2011
,63011105,BUS308,B-,Spring,2011
,63011105,BUS314,D,Spring,2011
,63011105,GED302,D,Spring,2011
